,id,date,trip,max_temp,min_temp,avg_temp,precip,weekday,weight,bmi,fat,calories,steps,distance,floors,mins_sedentary,mins_light_active,mins_fairly_active,mins_very_active,calories_activity,mins_asleep,activity_level,steps_level,sleep_cat,weekday2,covid,month2,covid2
127,127,2020-02-04,0,73,41,57,0,Tuesday,141.09,22.95,NA,2443,15089,7.18,78,533,183,24,58,1236,589,High Activity,Very High Step Count,Long Sleep Time,Tuesday,0,NA,0
128,128,2020-02-05,0,60,39,49.5,0,Wednesday,141.2,22.97,NA,2542,14082,6.64,41,662,151,24,79,1311,469,Very High Activity,High Step Count,Ideal Sleep Time,Wednesday,0,NA,0
129,129,2020-02-06,0,83,41,62,0,Thursday,140.6,22.87,NA,2360,13184,5.76,83,635,196,32,60,1148,469,High Activity,High Step Count,Ideal Sleep Time,Thursday,0,NA,0
130,130,2020-02-07,0,66,42,54,0,Friday,140.85,22.91,NA,2703,14973,7.23,76,602,273,35,64,1564,469,Very High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
131,131,2020-02-08,0,70,43,56.5,0,Saturday,141.1,22.95,NA,2439,8321,3.62,21,570,363,28,5,1325,427,High Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
132,132,2020-02-09,0,72,49,60.5,0,Sunday,141.34,22.99,NA,1962,4792,2.09,20,887,234,4,1,722,289,Low Activity,Low Step Count,Short Sleep Time,Sunday,0,NA,0
133,133,2020-02-10,0,59,45,52,0.96,Monday,141.6,23.03,NA,1887,6574,2.87,40,620,107,14,23,573,623,Low Activity,Average Step Count,Long Sleep Time,Monday,0,NA,0
134,134,2020-02-11,0,73,47,60,0,Tuesday,141,22.93,NA,2391,13262,5.79,54,646,255,31,26,1216,409,High Activity,High Step Count,Short Sleep Time,Tuesday,0,NA,0
135,135,2020-02-12,0,66,46,56,0,Wednesday,140.66,22.88,NA,2649,13019,6.25,46,571,165,29,86,1406,529,Very High Activity,High Step Count,Ideal Sleep Time,Wednesday,0,NA,0
136,136,2020-02-13,0,73,46,59.5,0,Thursday,140.33,22.82,NA,2174,7806,3.41,29,710,252,22,9,951,409,Average Activity,Average Step Count,Short Sleep Time,Thursday,0,NA,0
137,137,2020-02-14,0,66,46,56,0,Friday,140,22.77,NA,2728,15535,7.24,63,522,267,11,56,1486,521,Very High Activity,Very High Step Count,Ideal Sleep Time,Friday,0,NA,0
138,138,2020-02-15,0,69,49,59,0,Saturday,140.03,22.78,NA,2413,14890,6.5,99,624,152,38,71,1157,504,High Activity,High Step Count,Ideal Sleep Time,Saturday,0,NA,0
139,139,2020-02-16,0,71,49,60,0,Sunday,140.07,22.78,NA,2368,14748,6.44,82,552,162,44,57,1127,589,High Activity,High Step Count,Long Sleep Time,Sunday,0,NA,0
